##  Star in a Box 
## https://lco.global/starinabox 
## Data for a 40 solar mass star
## Columns are:
## Time, Radius (R_sun), Luminosity (L_sun), Surface Temperature (K), Mass (M_sun)
0.0000, 9.315, 226255.94534, 41429, 40.000
0.2364, 9.583, 231419.52615, 41077, 39.891
0.4732, 9.861, 236919.05953, 40738, 39.776
0.7104, 10.151, 242772.78477, 40392, 39.655
0.9480, 10.459, 248943.04648, 40041, 39.528
1.1862, 10.792, 255564.19011, 39683, 39.392
1.4248, 11.151, 262542.73190, 39301, 39.248
1.6640, 11.545, 269898.20735, 38896, 39.096
1.9038, 11.978, 277715.42359, 38459, 38.933
2.1442, 12.462, 285890.68155, 37975, 38.758
2.3853, 13.002, 294509.96900, 37454, 38.571
2.6271, 13.614, 303528.86645, 36881, 38.370
2.8697, 14.315, 312895.99190, 36241, 38.153
3.1133, 15.139, 322700.76875, 35514, 37.917
3.3578, 16.129, 332812.78396, 34674, 37.660
3.6034, 17.362, 343162.63980, 33674, 37.378
3.8437, 18.928, 353427.22437, 32494, 37.074
4.0405, 20.621, 361742.88676, 31311, 36.798
4.2043, 22.449, 368468.18915, 30151, 36.544
4.3432, 24.434, 373938.34364, 29007, 36.309
4.4634, 26.595, 378442.58472, 27887, 36.087
4.5691, 28.953, 382120.20318, 26792, 35.875
4.6636, 31.543, 385123.48243, 25716, 35.669
4.8155, 36.991, 389403.63388, 23812, 35.313
4.8402, 37.540, 394457.30208, 23714, 35.246
4.8535, 35.967, 403645.39297, 24367, 35.209
4.8628, 33.427, 413237.76120, 25427, 35.183
4.8700, 30.556, 422474.01299, 26742, 35.164
4.8732, 29.074, 427070.91944, 27485, 35.156
4.8732, 28.432, 427070.91944, 27797, 35.156
4.8734, 31.254, 426776.01117, 26509, 35.155
4.8735, 34.348, 426579.51880, 25281, 35.154
4.8737, 37.757, 426383.11690, 24110, 35.153
4.8738, 41.495, 426088.68358, 22993, 35.152
4.8740, 45.614, 425892.50767, 21928, 35.151
4.8741, 50.142, 425598.41313, 20912, 35.151
4.8743, 55.106, 425402.46294, 19948, 35.150
4.8744, 60.576, 425108.70680, 19024, 35.149
4.8746, 66.573, 424912.98208, 18143, 35.148
4.8747, 73.181, 424619.56395, 17302, 35.147
4.8749, 80.445, 424424.06443, 16501, 35.146
4.8750, 88.410, 424228.65492, 15736, 35.145
4.8752, 97.185, 423935.70934, 15007, 35.144
4.8754, 106.807, 423740.52468, 14312, 35.143
4.8755, 117.409, 423447.91617, 13649, 35.142
4.8757, 129.062, 423252.95609, 13017, 35.141
4.8758, 141.840, 422960.68427, 12414, 35.140
4.8760, 155.919, 422765.94852, 11839, 35.139
4.8761, 171.356, 422474.01299, 11293, 35.137
4.8763, 188.365, 422279.50131, 10770, 35.135
4.8764, 207.062, 422085.07918, 10271, 35.134
4.8766, 227.562, 421793.61382, 9795, 35.132
4.8767, 250.150, 421599.41540, 9341, 35.130
4.8769, 274.979, 421308.28540, 8908, 35.128
4.8770, 302.204, 421114.31044, 8496, 35.125
4.8772, 332.200, 420823.51542, 8102, 35.123
4.8774, 365.174, 420629.76365, 7727, 35.120
4.8775, 401.328, 420339.30324, 7369, 35.117
4.8777, 441.164, 420145.77440, 7027, 35.114
4.8778, 484.953, 419855.64820, 6702, 35.111
4.8780, 532.967, 419662.34204, 6391, 35.107
4.8781, 585.868, 419469.12488, 6095, 35.103
4.8783, 644.021, 419179.46593, 5813, 35.099
4.8784, 707.946, 418986.47110, 5544, 35.094
4.8786, 778.216, 418697.14544, 5287, 35.089
4.8787, 855.264, 418504.37267, 5042, 35.084
4.8789, 940.156, 418215.37991, 4808, 35.078
4.8790, 1033.475, 418022.82895, 4586, 35.072
4.8792, 1136.057, 417734.16872, 4373, 35.065
4.8794, 1248.820, 417541.83932, 4171, 35.058
4.8795, 1372.777, 417349.59847, 3977, 35.050
4.8797, 1508.690, 417061.40313, 3793, 35.042
4.8797, 1555.249, 416965.38224, 3736, 35.039
4.8853, 1564.228, 418022.82895, 3727, 34.700
4.8908, 1572.896, 418986.47110, 3719, 34.360
4.8964, 1581.976, 420049.04340, 3711, 34.017
4.9019, 1591.109, 421017.35645, 3703, 33.677
4.9073, 1600.295, 421987.90169, 3694, 33.340
4.9126, 1609.163, 422960.68427, 3686, 33.007
4.9179, 1618.453, 423935.70934, 3678, 32.677
4.9230, 1627.421, 424912.98208, 3669, 32.350
4.9281, 1636.440, 425794.45358, 3661, 32.027
4.9331, 1645.508, 426677.75367, 3653, 31.706
4.9380, 1654.627, 427661.34748, 3645, 31.389
4.9429, 1663.413, 428548.52040, 3637, 31.076
4.9477, 1672.245, 429437.53373, 3629, 30.765
4.9524, 1681.512, 430328.39131, 3622, 30.457
4.9570, 1690.441, 431121.81604, 3613, 30.153
4.9615, 1699.417, 432016.16762, 3606, 29.851
4.9660, 1708.048, 432812.70422, 3598, 29.552
4.9705, 1717.117, 433610.70945, 3591, 29.257
4.9748, 1725.838, 434510.22417, 3583, 28.964
4.9791, 1735.002, 435311.35923, 3575, 28.675
4.9833, 1743.813, 436113.97139, 3568, 28.388
4.9875, 1752.669, 436817.47086, 3560, 28.104
4.9916, 1761.165, 437622.85995, 3553, 27.823
4.9956, 1770.109, 438429.73397, 3546, 27.545
4.9996, 1778.689, 439136.96902, 3539, 27.269
5.0036, 1787.722, 439946.63472, 3532, 26.997
5.0074, 1796.387, 440656.31669, 3525, 26.727
5.0112, 1805.095, 441367.14346, 3517, 26.459
5.0150, 1813.844, 442079.11688, 3511, 26.195
5.0187, 1822.217, 442792.23878, 3503, 25.933
5.0224, 1831.049, 443506.51103, 3497, 25.674
5.0260, 1839.501, 444221.93547, 3490, 25.417
5.0295, 1847.992, 444836.07489, 3483, 25.163
5.0330, 1856.522, 445553.64407, 3476, 24.911
5.0365, 1865.091, 446169.62458, 3470, 24.662
5.0399, 1873.268, 446889.34492, 3463, 24.415
5.0433, 1881.915, 447507.17205, 3457, 24.171
5.0466, 1890.166, 448125.85333, 3451, 23.930
5.0498, 1898.454, 448745.38993, 3444, 23.690
5.0531, 1906.777, 449365.78305, 3438, 23.453
5.0562, 1914.697, 449987.03387, 3432, 23.219
5.0594, 1923.092, 450609.14357, 3425, 22.987
5.0625, 1931.079, 451232.11334, 3420, 22.757
5.0655, 1939.099, 451855.94437, 3414, 22.529
5.0685, 1946.704, 452376.46233, 3408, 22.304
5.0715, 1954.790, 453001.87543, 3402, 22.081
5.0744, 1962.456, 453628.15317, 3396, 21.860
5.0773, 1970.153, 454150.71263, 3391, 21.641
5.0802, 1977.880, 454673.87406, 3385, 21.425
5.0830, 1985.638, 455302.46335, 3380, 21.211
5.0858, 1992.967, 455826.95154, 3374, 20.999
5.0885, 2000.322, 456352.04392, 3370, 20.789
5.0913, 2007.243, 456877.74119, 3364, 20.581
5.0939, 2014.652, 457404.04403, 3360, 20.375
