##  Star in a Box 
## https://lco.global/starinabox 
## Data for a 6 solar mass star
## Columns are:
## Time, Radius (R_sun), Luminosity (L_sun), Surface Temperature (K), Mass (M_sun)
0.0, 2.925, 1007.85951, 19099, 6.000
3.4187, 2.996, 1029.91172, 18976, 6.000
6.8374, 3.070, 1054.87257, 18858, 6.000
10.2561, 3.147, 1082.92904, 18750, 6.000
13.6748, 3.228, 1114.29453, 18642, 6.000
17.0935, 3.315, 1148.94701, 18540, 6.000
20.5122, 3.409, 1187.68152, 18437, 6.000
23.9309, 3.509, 1230.26877, 18327, 6.000
27.3496, 3.620, 1277.32085, 18218, 6.000
30.7683, 3.741, 1329.22959, 18101, 6.000
34.1871, 3.876, 1386.43655, 17972, 6.000
37.6058, 4.026, 1449.43919, 17828, 6.000
41.0245, 4.196, 1518.44827, 17669, 6.000
44.4432, 4.390, 1594.77713, 17486, 6.000
47.8619, 4.616, 1678.41750, 17270, 6.000
51.2806, 4.889, 1770.51659, 17010, 6.000
54.6993, 5.228, 1871.97481, 16680, 6.000
58.118, 5.666, 1983.80966, 16255, 6.000
61.3191, 6.224, 2098.93988, 15729, 6.000
63.8688, 6.828, 2198.36601, 15195, 6.000
65.964, 7.483, 2286.12514, 14655, 6.000
68.3741, 6.827, 2975.08926, 16387, 6.000
68.3841, 7.502, 2908.03748, 15545, 6.000
68.3942, 8.245, 2843.15149, 14743, 6.000
68.4042, 9.061, 2779.07329, 13986, 6.000
68.4143, 9.956, 2717.06482, 13265, 6.000
68.4243, 10.942, 2655.82833, 12583, 6.000
68.4344, 12.025, 2595.97198, 11934, 6.000
68.4444, 13.216, 2538.04899, 11321, 6.000
68.4544, 14.524, 2480.84711, 10737, 6.000
68.4645, 15.959, 2425.49286, 10184, 6.000
68.4745, 17.539, 2370.82774, 9661, 6.000
68.4846, 19.275, 2317.92831, 9162, 6.000
68.4946, 21.184, 2265.68746, 8692, 6.000
68.5046, 23.276, 2214.62399, 8243, 6.000
68.5147, 25.580, 2165.20988, 7820, 6.000
68.5247, 28.113, 2116.41095, 7417, 6.000
68.5348, 30.896, 2069.18823, 7036, 6.000
68.5448, 33.955, 2022.55341, 6673, 6.000
68.5549, 37.308, 1977.42491, 6330, 6.000
68.5649, 41.002, 1932.85823, 6003, 6.000
68.5749, 45.061, 1889.29598, 5695, 6.000
68.585, 49.522, 1847.14079, 5401, 6.000
68.595, 54.413, 1805.51042, 5124, 6.000
68.6051, 59.800, 1765.22472, 4860, 6.000
68.6151, 65.720, 1725.44055, 4610, 6.000
68.6218, 69.984, 1699.41716, 4449, 6.000
68.6218, 69.984, 1699.41716, 4449, 6.000
68.6236, 70.615, 1721.07581, 4444, 6.000
68.6253, 71.236, 1742.60919, 4438, 6.000
68.627, 71.862, 1764.81831, 4433, 6.000
68.6287, 72.494, 1787.31047, 4427, 6.000
68.6304, 73.131, 1809.67255, 4422, 6.000
68.6321, 73.790, 1832.73638, 4417, 6.000
68.6337, 74.439, 1855.66681, 4411, 6.000
68.6353, 75.093, 1879.31682, 4406, 6.000
68.6369, 75.753, 1902.83004, 4399, 6.000
68.6385, 76.436, 1927.08114, 4394, 6.000
68.6401, 77.108, 1951.19197, 4388, 6.000
68.6417, 77.786, 1976.05942, 4383, 6.000
68.6432, 78.487, 2001.24380, 4377, 6.000
68.6448, 79.177, 2026.28253, 4371, 6.000
68.6463, 79.873, 2052.10699, 4366, 5.999
68.6478, 80.593, 2077.78210, 4360, 5.999
68.6493, 81.302, 2104.26291, 4355, 5.999
68.6508, 82.035, 2130.59057, 4349, 5.999
68.6522, 82.756, 2157.74441, 4344, 5.999
68.6537, 83.483, 2185.24432, 4338, 5.999
68.6551, 84.236, 2212.58518, 4333, 5.999
68.6565, 84.977, 2240.78403, 4327, 5.999
68.6579, 85.743, 2268.81978, 4321, 5.999
68.6593, 86.497, 2297.73532, 4316, 5.999
68.6607, 87.257, 2326.48362, 4310, 5.999
68.662, 88.044, 2356.13407, 4305, 5.999
68.6634, 88.818, 2385.61304, 4299, 5.999
68.6647, 89.619, 2416.01708, 4293, 5.999
68.666, 90.407, 2446.80861, 4288, 5.999
