##  Star in a Box 
## https://lco.global/starinabox 
## Data for a 20 solar mass star
## Columns are:
## Time, Radius (R_sun), Luminosity (L_sun), Surface Temperature (K), Mass (M_sun)
0.0000, 5.999, 42844.98548, 34056, 20.000
0.4338, 6.157, 43933.92456, 33830, 19.984
0.8679, 6.321, 45133.60253, 33612, 19.967
1.3025, 6.492, 46451.52752, 33404, 19.950
1.7376, 6.674, 47907.11300, 33205, 19.931
2.1731, 6.868, 49499.40744, 32999, 19.911
2.6092, 7.078, 51227.12703, 32787, 19.890
3.0458, 7.305, 53125.12929, 32569, 19.867
3.4829, 7.553, 55195.03334, 32337, 19.842
3.9207, 7.827, 57438.09135, 32085, 19.816
4.3592, 8.132, 59882.51060, 31805, 19.787
4.7985, 8.474, 62546.06617, 31499, 19.756
5.2385, 8.863, 65418.41236, 31146, 19.722
5.6795, 9.311, 68548.82265, 30747, 19.684
6.1214, 9.840, 71944.89780, 30269, 19.643
6.5645, 10.483, 75613.61471, 29689, 19.597
7.0087, 11.303, 79560.95729, 28967, 19.546
7.4544, 12.394, 83830.10305, 28022, 19.487
7.8081, 13.564, 87417.82564, 27064, 19.433
8.0983, 14.835, 90469.04377, 26110, 19.384
8.3427, 16.218, 93132.22957, 25148, 19.337
8.5551, 17.746, 95499.25860, 24194, 19.292
8.7545, 19.467, 98582.53917, 23286, 19.244
8.7847, 18.797, 102612.43652, 23933, 19.236
8.8041, 17.474, 106831.66573, 25078, 19.231
8.8186, 15.944, 110968.57268, 26497, 19.227
8.8216, 15.570, 111918.01530, 26878, 19.226
8.8216, 15.367, 111918.01530, 27052, 19.226
8.8221, 16.889, 112253.52819, 25823, 19.226
8.8226, 18.561, 112590.04689, 24649, 19.226
8.8231, 20.399, 112927.57442, 23534, 19.226
8.8237, 22.418, 113240.03632, 22465, 19.225
8.8242, 24.638, 113579.51242, 21444, 19.225
8.8247, 27.077, 113920.00622, 20469, 19.225
8.8252, 29.758, 114261.52076, 19539, 19.225
8.8257, 32.704, 114604.05911, 18651, 19.224
8.8263, 35.942, 114921.15972, 17807, 19.224
8.8268, 39.500, 115265.67557, 16998, 19.224
8.8273, 43.411, 115611.22422, 16226, 19.224
8.8278, 47.709, 115957.80877, 15488, 19.223
8.8284, 52.432, 116278.65510, 14784, 19.223
8.8289, 57.624, 116627.24051, 14116, 19.222
8.8294, 63.329, 116976.87092, 13474, 19.222
8.8299, 69.599, 117327.54947, 12862, 19.222
8.8304, 76.507, 117652.18577, 12277, 19.221
8.8310, 84.081, 118004.88881, 11719, 19.221
8.8315, 92.406, 118358.64920, 11187, 19.220
8.8320, 101.555, 118713.47010, 10681, 19.219
8.8325, 111.609, 119041.94113, 10195, 19.219
8.8330, 122.659, 119398.81045, 9732, 19.218
8.8336, 134.803, 119756.74960, 9290, 19.217
8.8341, 148.149, 120115.76179, 8867, 19.216
8.8346, 162.817, 120448.11286, 8464, 19.215
8.8351, 178.937, 120809.19765, 8082, 19.215
8.8357, 196.653, 121171.36493, 7714, 19.213
8.8362, 216.123, 121534.61792, 7364, 19.212
8.8367, 237.520, 121898.95989, 7029, 19.211
8.8372, 261.156, 122236.24493, 6708, 19.210
8.8373, 265.094, 122292.54976, 6659, 19.209
8.8472, 272.961, 122546.24264, 6566, 19.181
8.8520, 291.743, 122659.16390, 6352, 19.167
8.8550, 313.329, 122743.92312, 6131, 19.157
8.8574, 338.532, 122800.46180, 5899, 19.149
8.8594, 367.790, 122857.02652, 5660, 19.142
8.8613, 401.791, 122913.61731, 5416, 19.135
8.8629, 441.266, 122941.92247, 5169, 19.129
8.8644, 484.842, 122970.23415, 4931, 19.122
8.8658, 532.844, 123026.87708, 4704, 19.116
8.8670, 586.003, 123055.20833, 4485, 19.109
8.8681, 644.021, 123083.54610, 4280, 19.103
8.8692, 708.109, 123111.89040, 4081, 19.097
8.8702, 778.574, 123140.24122, 3892, 19.090
8.8756, 858.816, 123253.70982, 3707, 19.053
8.8855, 861.390, 123509.39660, 3703, 18.979
